id;ref;name;description;erp_id;created_at;updated_at
1;1014;INEO DEFENSE;;2;2020-07-17 12:53:41;2020-07-17 12:53:41
2;"0140";INEO TINEA;;2;2020-07-17 12:53:41;2020-07-17 12:53:41
3;1304;INEO PROVENCE COTE D'AZUR;;2;2020-07-17 12:53:41;2020-07-17 12:53:41
4;2726;INEO AQUITAINE;;2;2020-07-17 12:53:41;2020-07-17 12:53:41
5;2740;INEO ATLANTIQUE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
6;2225;INEO RHONE ALPES AUVERGNE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
7;2801;INEO LOGISTIQUE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
8;2124;INEO INDUSTRIE & TERT EST;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
9;1319;SCLE SFE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
10;2126;INEO INFRACOM;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
11;2234;INEO NUCLEAIRE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
12;2322;INEO NORMANDIE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
13;9319;INEO CCN;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
14;2729;INEO MPLR;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
15;1301;INEO TERTIAIRE IDF;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
16;2123;INEO RESEAUX CENTRE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
17;1411;INEO DIGITAL;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
18;2314;INEO HAUTS-DE-FRANCE;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
19;2341;INEO POSTES ET CENTRALES;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
20;2925;INEO ENERGY ET SYSTEMS;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
21;"0110";INEO;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
22;1312;INEO SYSTRANS;;2;2020-07-17 12:53:42;2020-07-17 12:53:42
23;2921;INEO RHT;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
24;2332;INEO INFRASTRUCTURES IDF;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
25;9988;EPR FLAMANVILLE;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
26;2337;INEO UTS;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
27;1321;INEO SCLE FERROVIAIRE;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
28;"0176";STE D'ENTREPRISES ELECTR.;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
29;2334;INEOLUM;;2;2020-07-17 12:53:43;2020-07-17 12:53:43
30;"0116";ENGIE GBS SERVICES;;2;2020-07-17 12:53:44;2020-07-17 12:53:44
31;1324;INEO CENTRE;;2;2020-07-17 12:53:45;2020-07-17 12:53:45
32;"0120";INEO RAIL;;2;2020-07-17 12:53:45;2020-07-17 12:53:45
33;2325;INEO INDUSTRIE & SCES IDF;;2;2020-07-17 12:53:45;2020-07-17 12:53:45
34;1419;INEO RESEAUX EST;;2;2020-07-17 12:53:47;2020-07-17 12:53:47
35;9950;INEO NUCLEAIRE-MAIN. PROC;;2;2020-07-17 12:53:47;2020-07-17 12:53:47
36;1431;INEO SOLUTIONS DIGITALES;;2;2020-07-17 12:53:47;2020-07-17 12:53:47
37;1126;INEO RESEAUX ELAGAGE;;2;2020-07-17 12:53:48;2020-07-17 12:53:48
38;2770;ENGIE INEO UK LTD;;2;2020-07-17 12:53:48;2020-07-17 12:53:48
39;1325;INEO TELESECURITE SERVICE;;2;2020-07-17 12:53:49;2020-07-17 12:53:49
40;9963;INEO NUC. PIERRELATTE DSI;;2;2020-07-17 12:53:49;2020-07-17 12:53:49
41;9974;INEO ENERSYS;;2;2020-07-17 12:53:50;2020-07-17 12:53:50
42;1418;ETC AUDIOVISUEL;;2;2020-07-17 12:53:52;2020-07-17 12:53:52
43;1414;IMMOBILIERE INEO;;2;2020-07-17 12:53:52;2020-07-17 12:53:52
44;9951;INEO NUCLEAIRE-NCPF;;2;2020-07-17 12:54:00;2020-07-17 12:54:00
45;132A;INEO DAKAR - SCLE FER.;;2;2020-07-17 12:54:00;2020-07-17 12:54:00
46;1214;INEO CYBER SECURITE;;2;2020-07-17 12:54:01;2020-07-17 12:54:01
47;1428;GEIE ID SOLUTIONS;;2;2020-07-17 12:54:04;2020-07-17 12:54:04
48;1329;ILLUMINEO GRASSE;;2;2020-07-17 12:54:08;2020-07-17 12:54:08
49;"012A";INEO RAIL ALGERIE;;2;2020-07-17 12:54:09;2020-07-17 12:54:09
50;2212;GIE PHOTOVOLTAIQUE GE;;2;2020-07-17 12:54:11;2020-07-17 12:54:11
